"ID","Site","TypeSite","meanBC","Y_muni","X_muni"
"AgriCh_0001","a Daupharde","Open air",4650,46.75,5.5
"AgriCh_0002","a Daupharde","Open air",1494,46.75,5.5
"AgriCh_0003","a Daupharde","Open air",800,46.75,5.5
"AgriCh_0004","abri Bergilbalm","Rock shelter",8355,46.966667,8.75
"AgriCh_0005","abri Bergilbalm","Rock shelter",8265,46.966667,8.75
"AgriCh_0006","abri Bergilbalm","Rock shelter",8094,46.966667,8.75
"AgriCh_0007","abri Bergilbalm","Rock shelter",8083,46.966667,8.75
"AgriCh_0008","abri Bergilbalm","Rock shelter",7913,46.966667,8.75
"AgriCh_0009","abri de Coufin I et II","Rock shelter",2258,45.0678,5.3917
"AgriCh_0010","abri de Coufin I et II","Rock shelter",4095,45.0678,5.3917
"AgriCh_0011","abri de Coufin I et II","Rock shelter",2487,45.0678,5.3917
"AgriCh_0012","abri de Font-Juvenal","Rock shelter",4300,43.27,2.40167
"AgriCh_0013","abri de Font-Juvenal","Rock shelter",4388,43.27,2.40167
"AgriCh_0014","abri de Font-Juvenal","Rock shelter",3099,43.27,2.40167
"AgriCh_0015","abri de Font-Juvenal","Rock shelter",2766,43.27,2.40167
"AgriCh_0016","abri de Font-Juvenal","Rock shelter",2756,43.27,2.40167
"AgriCh_0017","abri de Font-Juvenal","Rock shelter",2728,43.27,2.40167
"AgriCh_0018","abri de Font-Juvenal","Rock shelter",2671,43.27,2.40167
"AgriCh_0019","abri de Font-Juvenal","Rock shelter",2375,43.27,2.40167
"AgriCh_0020","abri de Font-Juvenal","Rock shelter",2359,43.27,2.40167
"AgriCh_0021","abri de Font-Juvenal","Rock shelter",5272,43.27,2.40167
"AgriCh_0022","abri de Font-Juvenal","Rock shelter",5227,43.27,2.40167
"AgriCh_0023","abri de Font-Juvenal","Rock shelter",5164,43.27,2.40167
"AgriCh_0024","abri de Font-Juvenal","Rock shelter",5125,43.27,2.40167
"AgriCh_0025","abri de Font-Juvenal","Rock shelter",5107,43.27,2.40167
"AgriCh_0026","abri de Font-Juvenal","Rock shelter",5014,43.27,2.40167
"AgriCh_0027","abri de Font-Juvenal","Rock shelter",4947,43.27,2.40167
"AgriCh_0028","abri de Font-Juvenal","Rock shelter",4910,43.27,2.40167
"AgriCh_0029","abri de Font-Juvenal","Rock shelter",4640,43.27,2.40167
"AgriCh_0030","abri de Font-Juvenal","Rock shelter",4621,43.27,2.40167
"AgriCh_0031","abri de Font-Juvenal","Rock shelter",4392,43.27,2.40167
"AgriCh_0032","abri de Font-Juvenal","Rock shelter",4234,43.27,2.40167
"AgriCh_0033","abri de Font-Juvenal","Rock shelter",4642,43.27,2.40167
"AgriCh_0034","abri de Font-Juvenal","Rock shelter",4511,43.27,2.40167
"AgriCh_0035","abri de Font-Juvenal","Rock shelter",3865,43.27,2.40167
"AgriCh_0036","abri de Font-Juvenal","Rock shelter",3567,43.27,2.40167
"AgriCh_0037","abri de Font-Juvenal","Rock shelter",3517,43.27,2.40167
"AgriCh_0038","abri de Font-Juvenal","Rock shelter",3418,43.27,2.40167
"AgriCh_0039","abri de Font-Juvenal","Rock shelter",1064,43.27,2.40167
"AgriCh_0040","abri de Font-Juvenal","Rock shelter",5178,43.27,2.40167
"AgriCh_0041","abri de Font-Juvenal","Rock shelter",4528,43.27,2.40167
"AgriCh_0042","abri de Font-Juvenal","Rock shelter",3930,43.27,2.40167
"AgriCh_0043","abri de Font-Juvenal","Rock shelter",3279,43.27,2.40167
"AgriCh_0044","abri de Font-Juvenal","Rock shelter",3183,43.27,2.40167
"AgriCh_0045","abri de Font-Juvenal","Rock shelter",2716,43.27,2.40167
"AgriCh_0046","abri de Font-Juvenal","Rock shelter",4713,43.27,2.40167
"AgriCh_0047","abri de Font-Juvenal","Rock shelter",4176,43.27,2.40167
"AgriCh_0048","abri de Font-Juvenal","Rock shelter",3643,43.27,2.40167
"AgriCh_0049","abri de Font-Juvenal","Rock shelter",3225,43.27,2.40167
"AgriCh_0050","abri de Font-Juvenal","Rock shelter",5370,43.27,2.40167
"AgriCh_0051","abri de Font-Juvenal","Rock shelter",5005,43.27,2.40167
"AgriCh_0052","abri de Font-Juvenal","Rock shelter",4701,43.27,2.40167
"AgriCh_0053","abri de Font-Juvenal","Rock shelter",4273,43.27,2.40167
"AgriCh_0054","abri de Font-Juvenal","Rock shelter",3547,43.27,2.40167
"AgriCh_0055","abri de Font-Juvenal","Rock shelter",1991,43.27,2.40167
"AgriCh_0056","abri de Font-Juvenal","Rock shelter",1950,43.27,2.40167
"AgriCh_0057","abri de Gigot","Rock shelter",3871,47.2167,6.63333
"AgriCh_0058","abri de Gigot","Rock shelter",2667,47.2167,6.63333
"AgriCh_0059","abri de Gigot","Rock shelter",5569,47.2167,6.63333
"AgriCh_0060","abri de la Grande Rivoire","Rock shelter",4544,45.2,5.66667
"AgriCh_0061","abri de la Grande Rivoire","Rock shelter",4514,45.2,5.66667
